url,ID,nickname,comment,like,time
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,5947020913,不忘初心990331,中国加油！,2,2020-02-20 22:45:41
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,7326281181,努力抵不过选择,感恩白衣天使，感恩为了疫情逆流而上的所有人儿🙏🙏🙏,0,2020-02-20 23:21:59
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,6087985084,楊海燕HooinYoung,为什么我们的眼里总含着泪水？因为我们深受这片土地。,0,2020-02-20 23:14:39
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,5339602110,id卓卓,,0,2020-02-20 22:42:38
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,5683395912,Ronronner喵-,加油哇  最后的胜利一定是属于我们的,1,2020-02-20 23:22:12
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,2277103310,飞侠-小小窝,与国家同舟，与人民共济,0,2020-02-20 22:54:47
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,2269753180,娱樂冷瞎话,中国总是被他们最勇敢的人保护,0,2020-02-20 22:44:38
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,shuguotong,常州老童,转发微博,0,2020-02-20 22:43:22
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,5974727282,悔艺莲花,👍 👍 👍,0,2020-02-20 22:41:59
https://weibo.cn/comment/hot/Iv7zZoB3y?rl=2,6731679853,励志11点早睡的静静呀,全国人民万众一心，一定会把疫情控制住，加油,0,2020-02-20 23:32:03
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,5947020913,不忘初心990331,我们不要烈士，我们只要你们平安归来🙏,142,2020-02-20 21:36:32
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,2443788615,永杰澜心,爱国之情缘于心，救援之路缘于爱。,96,2020-02-20 21:34:56
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,7182498464,夜间渔夫,为福建省加油！,71,2020-02-20 21:37:45
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,3926665207,无盐也温柔,致敬“逆行”者,29,2020-02-20 21:34:00
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,6003354764,不爱生气的嗨逗,赞一个,13,2020-02-20 21:40:41
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,1743301875,nemo啦啦啦,真帅！,9,2020-02-20 21:33:43
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,2907191971,愤怒的豆沙包-,万众一心，不如使命。守望相助，战疫必胜！为尤德源点赞,5,2020-02-20 21:48:37
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,5544729328,云朵贩卖机o,医护人员你们辛苦了，希望你们可以平安回来,4,2020-02-20 21:47:15
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,2955056930,薛薛是天外来物o,感谢你们的辛苦付出🙏,3,2020-02-20 21:48:35
https://weibo.cn/comment/hot/Iv79gyJas?rl=2,7330364004,余生一个郭呀呀43881,你非常的伟大，为你点赞，你是我们的榜样。,4,2020-02-20 21:48:43
https://weibo.cn/comment/hot/Iv6dAxiDX?rl=2,5728910594,雷锋20110,这样的就不要免费治疗了，收他医药费,70,2020-02-20 19:10:22
https://weibo.cn/comment/hot/Iv6dAxiDX?rl=2,1590046702,邦妮要慢慢长大,先害的是自己家人，真不知道咋想的,58,2020-02-20 19:47:49
