url,ID,nickname,comment,like,time
url,ID,nickname,comment,like,time
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,3627585445,宋声声入耳,为什么轻症朱姓患者能够牢牢占住优势医疗资源？逼护士打扫厕所？,817,2020-02-21 00:01:18
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,7088263321,全是甜份,我们不要烈士 我们要你平安归来,506,2020-02-20 23:59:19
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,3627585445,宋声声入耳,逼英雄打扫厕所？？？,472,2020-02-21 00:01:49
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,6327004937,·小恋梦游记·,武汉第七人民医院，一位病人因没有人来得及打扫病房厕所，对刚刚做完手术护士进行辱骂，请核实一下，谢谢🙏🙏🙏,387,2020-02-21 00:04:27
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,6087298749,茅石惊雷,抢救39床病人时非让护士去通马桶的那位查出是谁了吗？好大的官威啊……,319,2020-02-21 00:03:32
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,2349673385,北冥有鱼一小只,广大医务人员不仅压力大，还要承受朱保华之流的辱骂,264,2020-02-21 00:00:42
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,2134025364,还让不让人起名字啦啦,#武汉工商局朱保华# 这🐶中气十足的骂医护人员，自己好手好脚的，就不能把自己那厕所清理一下，就非得指挥正在忙碌的护士给他扫厕所？这🐶的官威可真大啊！,101,2020-02-21 00:24:56
https://weibo.cn/comment/hot/Iv86Z9323?rl=2,6475126766,南辞遇,苟利国家生死以，岂因祸福避趋之！,76,2020-02-20 23:59:17
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,6405934295,小王在努力学习啊啊啊,山东的馒头真的贼好吃！,801,2020-02-20 22:48:17
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,2908878743,一只会双综滑雪的大胖鹅,广西螺蛳粉不配拥有姓名吗,576,2020-02-20 22:49:07
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,6745326095,赵老宽,驴肉火烧安排上,271,2020-02-20 22:48:11
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,5127074534,·芝士甜茶,啊啊啊啊啊我们云南还有过桥米线！,211,2020-02-20 22:48:44
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,3374300294,哈哈哈要开心快乐,福建烤鳗鱼超超超级好吃～大半夜馋死了,223,2020-02-20 22:49:51
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,misskit2010,MissKitKitKit,广东点心！,204,2020-02-20 23:15:26
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,2323375044,原来是涓涓呀,我们陕西油泼面上榜了真是不错 ,159,2020-02-20 22:52:33
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,3782073981,曉曉曉曉好帅的曉,你不赞我不赞南丁何时能出名？,169,2020-02-20 22:57:29
https://weibo.cn/comment/hot/Iv7EclhLU?rl=2,2843102704,野说Liberation,河南胡辣汤（闪味）跃跃欲试,151,2020-02-20 22:50:16
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,5351135023,头狼先生的芒果酱,每一个平凡的人是最伟大的,106,2020-02-20 20:55:23
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,3094433924,每日甜份,有这么多的人都在坚守，我们有什么理由不去努力。,67,2020-02-20 20:55:28
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,7360872699,奇妙图鉴,先“愈”带动后“愈 ” 最终实现共同富“愈”,73,2020-02-20 20:55:36
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,6636351939,未来可琪c,谢谢每个平凡且勇敢的你们,52,2020-02-20 20:55:56
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,zhongleizhang,尼奇窝窝,世上没有从天而降的英雄，只有挺身而出的凡人，感谢每一位逆行者，有你们真好,47,2020-02-20 20:56:09
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,208490789,小象大象家园,谢谢你们！恢复期血浆捐献者。挺身而出奋不顾身的你们，让爱心与希望传递！,35,2020-02-20 20:56:54
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,3180229783,美璇子啊,谢谢你们“浆”爱传递,21,2020-02-20 20:57:20
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,6477734481,孟岐是我的,谢谢你们，向你们致敬,15,2020-02-20 20:55:48
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,2814706271,想吃梨吗,谢谢每一个好心人！团结起来我们可以的！,9,2020-02-20 20:56:36
https://weibo.cn/comment/hot/Iv6UhjGz7?rl=2,5892472324,小丞昕keee,谢谢每一位逆行者！感想平凡又伟大的你们,10,2020-02-20 20:57:00
https://weibo.cn/comment/hot/Iv6r83pw3?rl=2,chanzy,陈哲远-,#武汉加油# 冲在一线的战士们请都保护好自己。,1416,2020-02-20 22:30:56
https://weibo.cn/comment/hot/Iv6r83pw3?rl=2,2084437781,萌果果甜酒果,我们不要烈士，我们只要你们平安归来🙏,158,2020-02-20 19:45:12
https://weibo.cn/comment/hot/Iv6r83pw3?rl=2,5994769830,梅洛飞雪,武汉加油，中国加油！,94,2020-02-20 19:45:29
https://weibo.cn/comment/hot/Iv6r83pw3?rl=2,zhongleizhang,尼奇窝窝,哪里有危险，哪里就有我们人民子弟兵,75,2020-02-20 19:44:04
